iteration,eval_return,eval_std
0,3833.239501953125,137.14096069335938
1,3944.62060546875,81.50345611572266
2,4113.0,38.45705032348633
3,4044.800048828125,102.00243377685547
4,4059.489501953125,143.04771423339844
5,3936.589111328125,78.55274963378906
6,4081.914794921875,60.70173645019531
7,3945.557861328125,57.25917053222656
8,4083.587890625,71.06396484375
9,4069.807861328125,76.78839111328125
10,4017.24951171875,51.49932098388672
11,4036.286376953125,98.2506332397461
12,4075.416748046875,68.34373474121094
13,4000.776123046875,112.87042236328125
14,4030.89697265625,55.695526123046875
15,4111.4013671875,63.68878936767578
16,4071.97119140625,46.924095153808594
17,4052.57568359375,58.13858413696289
18,3996.56103515625,57.38039779663086
19,4050.49267578125,52.203392028808594
